Gene Accession Number,1,2,3,4,5,6,7,8,9,10,11,12,13,…
AFFX-BioB-5_at,-214,-139,-76,-135,-106,-138,-72,-413,5,-88,-165,-67,-92,…
AFFX-BioB-M_at,-153,-73,-49,-114,-125,-85,-144,-260,-127,-105,-155,-93,-119,…
AFFX-BioB-3_at,-58,-1,-307,265,-76,215,238,7,106,42,-71,84,-31,…
AFFX-BioC-5_at,88,283,309,12,168,71,55,-2,268,219,82,25,173,…
AFFX-BioC-3_at,-295,-264,-376,-419,-230,-272,-399,-541,-210,-178,-163,-179,-233,…
AFFX-BioDn-5_at,-558,-400,-650,-585,-284,-558,-551,-790,-535,-246,-430,-323,-227,…
AFFX-BioDn-3_at,199,-330,33,158,4,67,131,-275,0,328,100,-135,-49,…
AFFX-CreX-5_at,-176,-168,-367,-253,-122,-186,-179,-463,-174,-148,-109,-127,-62,…
AFFX-CreX-3_at,252,101,206,49,70,87,126,70,24,177,56,-2,13,…
AFFX-BioB-5_st,206,74,-215,31,252,193,-20,-169,506,183,350,-66,230,…
AFFX-BioB-M_st,-41,19,19,363,155,325,-115,361,284,-143,204,208,2,…
AFFX-BioB-3_st,-831,-743,-1135,-934,-471,-631,-1003,-1001,-829,-684,-524,-472,-425,…
AFFX-BioC-5_st,-653,-239,-962,-577,-490,-625,-761,-520,-844,-468,-599,-163,-381,…
AFFX-BioC-3_st,-462,-83,-232,-214,-184,-177,-541,-163,-230,-51,-188,-192,-2,…
AFFX-BioDn-5_st,75,182,208,142,32,-94,109,-38,292,233,34,-80,62,…
AFFX-BioDn-3_st,381,164,432,271,213,222,435,281,172,310,221,89,243,…
AFFX-CreX-5_st,-118,-141,84,-107,1,-1,-129,-137,-59,-79,-41,-106,-41,…
AFFX-CreX-3_st,-565,-423,-501,-101,-260,-140,-399,-247,-323,-443,-204,-251,-424,…
hum_alu_at,15091,11038,16692,15763,18128,34207,30801,25147,15272,21801,18167,27087,19324,…
AFFX-DapX-5_at,7,37,183,45,-28,65,43,338,29,-36,-8,-5,21,…
AFFX-DapX-M_at,311,134,378,268,118,154,80,269,188,-39,115,186,38,…
AFFX-DapX-3_at,-231,-161,-221,-27,-153,-49,-87,-116,-69,-142,-95,-18,-37,…
AFFX-LysX-5_at,21,-21,67,43,-8,-24,-8,46,74,10,14,-2,26,…
AFFX-LysX-M_at,-107,-180,-203,-52,-111,-72,-250,-317,-217,-130,-54,-150,-118,…
AFFX-LysX-3_at,165,18,238,247,44,39,100,265,106,-1,91,79,153,…
AFFX-PheX-5_at,-78,-120,-124,-116,-88,-104,-73,-130,-159,-18,-81,-57,-86,…
AFFX-PheX-M_at,-204,-65,-161,-208,-102,-40,-132,-212,-155,-70,-134,-116,-76,…
AFFX-PheX-3_at,29,97,36,22,32,40,-57,-233,-101,-2,22,-45,22,…
AFFX-ThrX-5_at,-61,15,-23,-10,5,46,-52,29,143,2,5,38,38,…
AFFX-ThrX-M_at,-105,-49,-80,-74,-18,-78,-73,-28,-4,-9,-14,-79,-83,…
AFFX-ThrX-3_at,-366,-330,-481,-240,-228,-273,-327,-599,-283,-264,-269,-165,-170,…
AFFX-TrpnX-5_at,-41,-41,-65,-33,53,-7,-28,73,47,71,42,15,17,…
AFFX-TrpnX-M_at,-346,-772,-620,-560,-348,-618,-613,-604,-383,-500,-509,-432,-505,…
AFFX-TrpnX-3_at,-297,-259,-269,-261,-169,-355,-317,-226,-196,-283,-233,-231,-251,…
AFFX-HUMISGF3A/M97935_5_at,-109,-192,-136,-366,-156,-344,-220,-229,-106,-230,-275,-321,-306,…
AFFX-HUMISGF3A/M97935_MA_at,-13,-219,104,-148,-55,-327,-179,-163,-100,-109,-276,-224,-250,…
